"Date ","Winning Numbers ","Powerball® ","PowerPlay® "
" 10/31/2022 "," Powerball® Numbers 13 - 19 - 36 - 39 - 59 "," 13 "," 3 "," "
""," Double Play® Numbers 9 - 14 - 52 - 57 - 62 "," 24 "," --- "," "
" 10/29/2022 "," Powerball® Numbers 19 - 31 - 40 - 46 - 57 "," 23 "," 3 "," "
""," Double Play® Numbers 9 - 13 - 31 - 35 - 37 "," 1 "," --- "," "
" 10/26/2022 "," Powerball® Numbers 19 - 36 - 37 - 46 - 56 "," 24 "," 2 "," "
""," Double Play® Numbers 5 - 36 - 38 - 39 - 54 "," 19 "," --- "," "
" 10/24/2022 "," Powerball® Numbers 18 - 23 - 35 - 45 - 54 "," 16 "," 4 "," "
""," Double Play® Numbers 12 - 48 - 51 - 63 - 67 "," 26 "," --- "," "
" 10/22/2022 "," Powerball® Numbers 19 - 25 - 48 - 55 - 60 "," 18 "," 2 "," "
""," Double Play® Numbers 9 - 21 - 30 - 49 - 51 "," 3 "," --- "," "
" 10/19/2022 "," Powerball® Numbers 6 - 8 - 15 - 27 - 42 "," 10 "," 3 "," "
""," Double Play® Numbers 4 - 24 - 32 - 55 - 59 "," 13 "," --- "," "
" 10/17/2022 "," Powerball® Numbers 19 - 30 - 36 - 46 - 60 "," 25 "," 3 "," "
""," Double Play® Numbers 29 - 35 - 36 - 40 - 52 "," 18 "," --- "," "
" 10/15/2022 "," Powerball® Numbers 32 - 37 - 40 - 58 - 62 "," 15 "," 5 "," "
""," Double Play® Numbers 6 - 19 - 32 - 48 - 50 "," 1 "," --- "," "
" 10/12/2022 "," Powerball® Numbers 14 - 30 - 41 - 42 - 59 "," 6 "," 5 "," "
""," Double Play® Numbers 4 - 22 - 36 - 39 - 64 "," 14 "," --- "," "
" 10/10/2022 "," Powerball® Numbers 3 - 6 - 11 - 17 - 22 "," 11 "," 2 "," "
""," Double Play® Numbers 4 - 24 - 35 - 52 - 62 "," 10 "," --- "," "
" 10/8/2022 "," Powerball® Numbers 13 - 43 - 53 - 60 - 68 "," 5 "," 2 "," "
""," Double Play® Numbers 3 - 33 - 46 - 63 - 68 "," 17 "," --- "," "
" 10/5/2022 "," Powerball® Numbers 26 - 30 - 33 - 37 - 62 "," 6 "," 2 "," "
""," Double Play® Numbers 17 - 23 - 24 - 36 - 61 "," 16 "," --- "," "
" 10/3/2022 "," Powerball® Numbers 2 - 16 - 22 - 55 - 63 "," 22 "," 4 "," "
""," Double Play® Numbers 4 - 5 - 50 - 66 - 67 "," 15 "," --- "," "
" 10/1/2022 "," Powerball® Numbers 8 - 21 - 22 - 65 - 69 "," 26 "," 2 "," "
""," Double Play® Numbers 1 - 24 - 43 - 53 - 63 "," 18 "," --- "," "
" 9/28/2022 "," Powerball® Numbers 6 - 10 - 24 - 33 - 67 "," 11 "," 3 "," "
""," Double Play® Numbers 14 - 24 - 34 - 56 - 60 "," 8 "," --- "," "
" 9/26/2022 "," Powerball® Numbers 13 - 20 - 31 - 33 - 59 "," 20 "," 3 "," "
""," Double Play® Numbers 7 - 15 - 39 - 54 - 59 "," 11 "," --- "," "
" 9/24/2022 "," Powerball® Numbers 3 - 9 - 21 - 24 - 29 "," 14 "," 2 "," "
""," Double Play® Numbers 15 - 30 - 38 - 46 - 66 "," 25 "," --- "," "
" 9/21/2022 "," Powerball® Numbers 6 - 33 - 34 - 45 - 54 "," 7 "," 2 "," "
""," Double Play® Numbers 18 - 28 - 39 - 47 - 49 "," 16 "," --- "," "
" 9/19/2022 "," Powerball® Numbers 7 - 15 - 36 - 46 - 67 "," 7 "," 2 "," "
""," Double Play® Numbers 7 - 11 - 23 - 27 - 38 "," 4 "," --- "," "
" 9/17/2022 "," Powerball® Numbers 5 - 25 - 36 - 51 - 61 "," 1 "," 3 "," "
""," Double Play® Numbers 9 - 23 - 37 - 41 - 55 "," 1 "," --- "," "
" 9/14/2022 "," Powerball® Numbers 9 - 10 - 20 - 22 - 52 "," 25 "," 3 "," "
""," Double Play® Numbers 15 - 16 - 17 - 23 - 29 "," 5 "," --- "," "
" 9/12/2022 "," Powerball® Numbers 6 - 14 - 16 - 34 - 66 "," 25 "," 3 "," "
""," Double Play® Numbers 1 - 16 - 19 - 48 - 60 "," 11 "," --- "," "
" 9/10/2022 "," Powerball® Numbers 38 - 42 - 56 - 68 - 69 "," 4 "," 2 "," "
""," Double Play® Numbers 25 - 30 - 34 - 55 - 56 "," 26 "," --- "," "
" 9/7/2022 "," Powerball® Numbers 3 - 16 - 30 - 33 - 36 "," 20 "," 3 "," "
""," Double Play® Numbers 4 - 26 - 28 - 29 - 42 "," 10 "," --- "," "
" 9/5/2022 "," Powerball® Numbers 4 - 7 - 32 - 55 - 64 "," 25 "," 2 "," "
""," Double Play® Numbers 10 - 31 - 48 - 50 - 68 "," 7 "," --- "," "
" 9/3/2022 "," Powerball® Numbers 18 - 27 - 49 - 65 - 69 "," 9 "," 2 "," "
""," Double Play® Numbers 4 - 9 - 15 - 33 - 46 "," 21 "," --- "," "
" 8/31/2022 "," Powerball® Numbers 7 - 8 - 19 - 24 - 28 "," 1 "," 2 "," "
""," Double Play® Numbers 7 - 15 - 21 - 41 - 56 "," 16 "," --- "," "
" 8/29/2022 "," Powerball® Numbers 13 - 36 - 43 - 61 - 69 "," 18 "," 3 "," "
""," Double Play® Numbers 25 - 27 - 51 - 52 - 58 "," 1 "," --- "," "
" 8/27/2022 "," Powerball® Numbers 2 - 18 - 56 - 60 - 65 "," 14 "," 3 "," "
""," Double Play® Numbers 16 - 18 - 43 - 49 - 51 "," 6 "," --- "," "
" 8/24/2022 "," Powerball® Numbers 6 - 24 - 35 - 37 - 44 "," 22 "," 4 "," "
""," Double Play® Numbers 14 - 30 - 38 - 52 - 62 "," 24 "," --- "," "
" 8/22/2022 "," Powerball® Numbers 12 - 27 - 34 - 55 - 67 "," 9 "," 2 "," "
""," Double Play® Numbers 42 - 50 - 59 - 61 - 64 "," 21 "," --- "," "
" 8/20/2022 "," Powerball® Numbers 5 - 9 - 11 - 16 - 66 "," 7 "," 2 "," "
""," Double Play® Numbers 14 - 19 - 36 - 39 - 65 "," 25 "," --- "," "
" 8/17/2022 "," Powerball® Numbers 23 - 28 - 41 - 50 - 55 "," 24 "," 2 "," "
""," Double Play® Numbers 15 - 16 - 36 - 53 - 61 "," 14 "," --- "," "
" 8/15/2022 "," Powerball® Numbers 20 - 24 - 47 - 50 - 63 "," 5 "," 2 "," "
""," Double Play® Numbers 16 - 37 - 53 - 56 - 63 "," 22 "," --- "," "
" 8/13/2022 "," Powerball® Numbers 19 - 24 - 35 - 43 - 62 "," 2 "," 10 "," "
""," Double Play® Numbers 10 - 29 - 37 - 43 - 65 "," 19 "," --- "," "
" 8/10/2022 "," Powerball® Numbers 29 - 44 - 59 - 61 - 68 "," 19 "," 2 "," "
""," Double Play® Numbers 11 - 24 - 30 - 53 - 69 "," 7 "," --- "," "
" 8/8/2022 "," Powerball® Numbers 32 - 45 - 51 - 57 - 58 "," 12 "," 2 "," "
""," Double Play® Numbers 11 - 42 - 46 - 48 - 57 "," 9 "," --- "," "
" 8/6/2022 "," Powerball® Numbers 8 - 15 - 46 - 56 - 68 "," 3 "," 2 "," "
""," Double Play® Numbers 9 - 19 - 30 - 40 - 48 "," 16 "," --- "," "
" 8/3/2022 "," Powerball® Numbers 9 - 21 - 56 - 57 - 66 "," 11 "," 2 "," "
""," Double Play® Numbers 24 - 28 - 29 - 31 - 48 "," 12 "," --- "," "
" 8/1/2022 "," Powerball® Numbers 15 - 21 - 31 - 36 - 65 "," 16 "," 3 "," "
""," Double Play® Numbers 11 - 26 - 27 - 55 - 57 "," 2 "," --- "," "
" 7/30/2022 "," Powerball® Numbers 4 - 17 - 57 - 58 - 68 "," 12 "," 3 "," "
""," Double Play® Numbers 16 - 19 - 23 - 32 - 40 "," 15 "," --- "," "
" 7/27/2022 "," Powerball® Numbers 1 - 25 - 44 - 55 - 57 "," 26 "," 2 "," "
""," Double Play® Numbers 2 - 10 - 11 - 63 - 68 "," 1 "," --- "," "
" 7/25/2022 "," Powerball® Numbers 25 - 37 - 38 - 39 - 65 "," 5 "," 2 "," "
""," Double Play® Numbers 34 - 41 - 43 - 66 - 68 "," 8 "," --- "," "
" 7/23/2022 "," Powerball® Numbers 39 - 41 - 54 - 59 - 62 "," 12 "," 3 "," "
""," Double Play® Numbers 20 - 29 - 34 - 50 - 63 "," 20 "," --- "," "
" 7/20/2022 "," Powerball® Numbers 10 - 20 - 23 - 49 - 65 "," 22 "," 3 "," "
""," Double Play® Numbers 4 - 14 - 26 - 30 - 52 "," 18 "," --- "," "
" 7/18/2022 "," Powerball® Numbers 14 - 34 - 36 - 50 - 58 "," 5 "," 3 "," "
""," Double Play® Numbers 9 - 29 - 39 - 43 - 56 "," 19 "," --- "," "
" 7/16/2022 "," Powerball® Numbers 3 - 18 - 23 - 32 - 57 "," 21 "," 2 "," "
""," Double Play® Numbers 2 - 19 - 32 - 36 - 56 "," 5 "," --- "," "
" 7/13/2022 "," Powerball® Numbers 22 - 23 - 36 - 47 - 63 "," 2 "," 2 "," "
""," Double Play® Numbers 14 - 17 - 21 - 32 - 37 "," 8 "," --- "," "
" 7/11/2022 "," Powerball® Numbers 4 - 26 - 34 - 37 - 52 "," 9 "," 2 "," "
""," Double Play® Numbers 16 - 25 - 38 - 62 - 67 "," 5 "," --- "," "
" 7/9/2022 "," Powerball® Numbers 14 - 22 - 42 - 46 - 52 "," 24 "," 3 "," "
""," Double Play® Numbers 14 - 23 - 24 - 57 - 65 "," 18 "," --- "," "
" 7/6/2022 "," Powerball® Numbers 32 - 36 - 49 - 62 - 69 "," 13 "," 2 "," "
""," Double Play® Numbers 2 - 5 - 20 - 26 - 31 "," 13 "," --- "," "
" 7/4/2022 "," Powerball® Numbers 15 - 16 - 24 - 31 - 56 "," 4 "," 2 "," "
""," Double Play® Numbers 9 - 41 - 55 - 57 - 60 "," 5 "," --- "," "
" 7/2/2022 "," Powerball® Numbers 9 - 10 - 37 - 59 - 62 "," 26 "," 3 "," "
""," Double Play® Numbers 4 - 7 - 22 - 57 - 59 "," 24 "," --- "," "
" 6/29/2022 "," Powerball® Numbers 8 - 40 - 49 - 58 - 63 "," 14 "," 3 "," "
""," Double Play® Numbers 11 - 26 - 28 - 34 - 60 "," 5 "," --- "," "
" 6/27/2022 "," Powerball® Numbers 11 - 13 - 18 - 30 - 37 "," 16 "," 3 "," "
""," Double Play® Numbers 34 - 47 - 53 - 57 - 68 "," 2 "," --- "," "
" 6/25/2022 "," Powerball® Numbers 6 - 12 - 20 - 27 - 32 "," 4 "," 3 "," "
""," Double Play® Numbers 16 - 46 - 58 - 63 - 69 "," 18 "," --- "," "
" 6/22/2022 "," Powerball® Numbers 6 - 10 - 31 - 48 - 56 "," 12 "," 3 "," "
""," Double Play® Numbers 7 - 31 - 39 - 51 - 53 "," 21 "," --- "," "
" 6/20/2022 "," Powerball® Numbers 3 - 44 - 61 - 63 - 69 "," 13 "," 2 "," "
""," Double Play® Numbers 4 - 26 - 27 - 43 - 56 "," 18 "," --- "," "
" 6/18/2022 "," Powerball® Numbers 10 - 19 - 40 - 45 - 58 "," 25 "," 2 "," "
""," Double Play® Numbers 7 - 18 - 23 - 30 - 53 "," 3 "," --- "," "
" 6/15/2022 "," Powerball® Numbers 19 - 28 - 41 - 42 - 51 "," 7 "," 2 "," "
""," Double Play® Numbers 3 - 44 - 47 - 48 - 67 "," 11 "," --- "," "
" 6/13/2022 "," Powerball® Numbers 2 - 27 - 42 - 44 - 51 "," 25 "," 2 "," "
""," Double Play® Numbers 8 - 20 - 35 - 48 - 67 "," 15 "," --- "," "
" 6/11/2022 "," Powerball® Numbers 18 - 20 - 26 - 53 - 69 "," 5 "," 2 "," "
""," Double Play® Numbers 1 - 32 - 46 - 56 - 65 "," 23 "," --- "," "
" 6/8/2022 "," Powerball® Numbers 22 - 39 - 43 - 62 - 64 "," 7 "," 4 "," "
""," Double Play® Numbers 23 - 49 - 51 - 58 - 65 "," 12 "," --- "," "
" 6/6/2022 "," Powerball® Numbers 2 - 10 - 35 - 44 - 46 "," 4 "," 2 "," "
""," Double Play® Numbers 1 - 10 - 36 - 53 - 61 "," 21 "," --- "," "
" 6/4/2022 "," Powerball® Numbers 14 - 16 - 36 - 52 - 60 "," 16 "," 3 "," "
""," Double Play® Numbers 11 - 39 - 41 - 55 - 61 "," 10 "," --- "," "
" 6/1/2022 "," Powerball® Numbers 11 - 41 - 56 - 57 - 63 "," 2 "," 2 "," "
""," Double Play® Numbers 9 - 20 - 22 - 39 - 47 "," 10 "," --- "," "
" 5/30/2022 "," Powerball® Numbers 27 - 28 - 51 - 68 - 69 "," 22 "," 2 "," "
""," Double Play® Numbers 11 - 13 - 22 - 44 - 51 "," 15 "," --- "," "
" 5/28/2022 "," Powerball® Numbers 2 - 39 - 50 - 61 - 66 "," 15 "," 2 "," "
""," Double Play® Numbers 11 - 34 - 52 - 61 - 69 "," 24 "," --- "," "
" 5/25/2022 "," Powerball® Numbers 19 - 28 - 39 - 42 - 57 "," 17 "," 3 "," "
""," Double Play® Numbers 3 - 16 - 20 - 33 - 45 "," 11 "," --- "," "
" 5/23/2022 "," Powerball® Numbers 1 - 33 - 37 - 39 - 42 "," 26 "," 2 "," "
""," Double Play® Numbers 33 - 45 - 60 - 62 - 65 "," 2 "," --- "," "
" 5/21/2022 "," Powerball® Numbers 14 - 15 - 25 - 52 - 58 "," 11 "," 2 "," "
""," Double Play® Numbers 16 - 20 - 35 - 54 - 69 "," 15 "," --- "," "
" 5/18/2022 "," Powerball® Numbers 40 - 41 - 58 - 64 - 65 "," 17 "," 3 "," "
""," Double Play® Numbers 9 - 27 - 41 - 59 - 64 "," 21 "," --- "," "
" 5/16/2022 "," Powerball® Numbers 7 - 15 - 22 - 36 - 64 "," 13 "," 2 "," "
""," Double Play® Numbers 7 - 12 - 34 - 35 - 67 "," 26 "," --- "," "
" 5/14/2022 "," Powerball® Numbers 6 - 40 - 41 - 45 - 52 "," 9 "," 3 "," "
""," Double Play® Numbers 23 - 36 - 41 - 42 - 65 "," 14 "," --- "," "
" 5/11/2022 "," Powerball® Numbers 5 - 7 - 61 - 63 - 69 "," 18 "," 2 "," "
""," Double Play® Numbers 2 - 24 - 34 - 42 - 54 "," 11 "," --- "," "
" 5/9/2022 "," Powerball® Numbers 18 - 30 - 35 - 52 - 56 "," 5 "," 2 "," "
""," Double Play® Numbers 3 - 42 - 45 - 57 - 67 "," 2 "," --- "," "
" 5/7/2022 "," Powerball® Numbers 4 - 5 - 6 - 28 - 67 "," 10 "," 2 "," "
""," Double Play® Numbers 14 - 22 - 38 - 56 - 60 "," 17 "," --- "," "
" 5/4/2022 "," Powerball® Numbers 37 - 39 - 55 - 63 - 69 "," 23 "," 2 "," "
""," Double Play® Numbers 6 - 31 - 39 - 44 - 46 "," 26 "," --- "," "
" 5/2/2022 "," Powerball® Numbers 18 - 27 - 33 - 39 - 44 "," 8 "," 5 "," "
""," Double Play® Numbers 6 - 23 - 29 - 37 - 65 "," 12 "," --- "," "
" 4/30/2022 "," Powerball® Numbers 14 - 21 - 37 - 44 - 63 "," 1 "," 3 "," "
""," Double Play® Numbers 11 - 30 - 48 - 56 - 69 "," 20 "," --- "," "
" 4/27/2022 "," Powerball® Numbers 11 - 36 - 61 - 62 - 68 "," 4 "," 2 "," "
""," Double Play® Numbers 1 - 12 - 35 - 38 - 50 "," 10 "," --- "," "
" 4/25/2022 "," Powerball® Numbers 12 - 18 - 20 - 39 - 61 "," 10 "," 2 "," "
""," Double Play® Numbers 14 - 23 - 29 - 38 - 43 "," 20 "," --- "," "
" 4/23/2022 "," Powerball® Numbers 10 - 39 - 47 - 49 - 56 "," 8 "," 3 "," "
""," Double Play® Numbers 2 - 30 - 39 - 54 - 63 "," 17 "," --- "," "
" 4/20/2022 "," Powerball® Numbers 20 - 30 - 45 - 55 - 56 "," 14 "," 2 "," "
""," Double Play® Numbers 4 - 15 - 16 - 21 - 52 "," 20 "," --- "," "
" 4/18/2022 "," Powerball® Numbers 8 - 33 - 55 - 59 - 62 "," 18 "," 2 "," "
""," Double Play® Numbers 12 - 17 - 29 - 65 - 66 "," 7 "," --- "," "
" 4/16/2022 "," Powerball® Numbers 15 - 21 - 32 - 62 - 65 "," 26 "," 5 "," "
""," Double Play® Numbers 33 - 40 - 47 - 55 - 64 "," 5 "," --- "," "
" 4/13/2022 "," Powerball® Numbers 14 - 16 - 41 - 63 - 68 "," 26 "," 2 "," "
""," Double Play® Numbers 17 - 51 - 54 - 55 - 58 "," 19 "," --- "," "
" 4/11/2022 "," Powerball® Numbers 5 - 7 - 24 - 31 - 34 "," 4 "," 2 "," "
""," Double Play® Numbers 18 - 20 - 24 - 29 - 47 "," 12 "," --- "," "
" 4/9/2022 "," Powerball® Numbers 6 - 16 - 31 - 62 - 66 "," 18 "," 2 "," "
""," Double Play® Numbers 3 - 5 - 35 - 48 - 67 "," 5 "," --- "," "
" 4/6/2022 "," Powerball® Numbers 6 - 42 - 45 - 47 - 64 "," 18 "," 3 "," "
""," Double Play® Numbers 4 - 29 - 56 - 57 - 58 "," 2 "," --- "," "
" 4/4/2022 "," Powerball® Numbers 2 - 32 - 39 - 46 - 69 "," 6 "," 2 "," "
""," Double Play® Numbers 6 - 49 - 55 - 58 - 59 "," 15 "," --- "," "
" 4/2/2022 "," Powerball® Numbers 6 - 28 - 47 - 58 - 59 "," 18 "," 2 "," "
""," Double Play® Numbers 6 - 7 - 41 - 57 - 61 "," 14 "," --- "," "
" 3/30/2022 "," Powerball® Numbers 3 - 7 - 21 - 31 - 37 "," 11 "," 3 "," "
""," Double Play® Numbers 1 - 24 - 44 - 48 - 52 "," 22 "," --- "," "
" 3/28/2022 "," Powerball® Numbers 11 - 18 - 39 - 58 - 62 "," 3 "," 2 "," "
""," Double Play® Numbers 23 - 32 - 36 - 51 - 59 "," 9 "," --- "," "
" 3/26/2022 "," Powerball® Numbers 2 - 10 - 50 - 59 - 61 "," 6 "," 3 "," "
""," Double Play® Numbers 18 - 39 - 40 - 55 - 60 "," 25 "," --- "," "
" 3/23/2022 "," Powerball® Numbers 31 - 32 - 37 - 38 - 48 "," 24 "," 2 "," "
""," Double Play® Numbers 15 - 18 - 24 - 26 - 62 "," 1 "," --- "," "
" 3/21/2022 "," Powerball® Numbers 1 - 15 - 26 - 63 - 65 "," 16 "," 2 "," "
""," Double Play® Numbers 14 - 17 - 25 - 51 - 57 "," 24 "," --- "," "
" 3/19/2022 "," Powerball® Numbers 8 - 9 - 18 - 48 - 52 "," 6 "," 2 "," "
""," Double Play® Numbers 27 - 31 - 53 - 57 - 68 "," 3 "," --- "," "
" 3/16/2022 "," Powerball® Numbers 3 - 28 - 34 - 35 - 58 "," 17 "," 2 "," "
""," Double Play® Numbers 15 - 22 - 48 - 50 - 67 "," 16 "," --- "," "
" 3/14/2022 "," Powerball® Numbers 21 - 28 - 32 - 44 - 49 "," 6 "," 3 "," "
""," Double Play® Numbers 7 - 8 - 11 - 19 - 40 "," 6 "," --- "," "
" 3/12/2022 "," Powerball® Numbers 19 - 20 - 37 - 39 - 61 "," 8 "," 2 "," "
""," Double Play® Numbers 4 - 16 - 40 - 49 - 50 "," 15 "," --- "," "
" 3/9/2022 "," Powerball® Numbers 13 - 22 - 34 - 51 - 67 "," 10 "," 2 "," "
""," Double Play® Numbers 8 - 9 - 43 - 45 - 63 "," 4 "," --- "," "
" 3/7/2022 "," Powerball® Numbers 10 - 43 - 55 - 59 - 67 "," 2 "," 3 "," "
""," Double Play® Numbers 17 - 24 - 26 - 41 - 43 "," 26 "," --- "," "
" 3/5/2022 "," Powerball® Numbers 8 - 23 - 37 - 52 - 63 "," 13 "," 2 "," "
""," Double Play® Numbers 2 - 25 - 32 - 33 - 50 "," 12 "," --- "," "
" 3/2/2022 "," Powerball® Numbers 19 - 37 - 48 - 61 - 63 "," 12 "," 2 "," "
""," Double Play® Numbers 1 - 7 - 10 - 32 - 56 "," 13 "," --- "," "
" 2/28/2022 "," Powerball® Numbers 7 - 21 - 39 - 47 - 55 "," 19 "," 2 "," "
""," Double Play® Numbers 11 - 16 - 28 - 44 - 51 "," 16 "," --- "," "
" 2/26/2022 "," Powerball® Numbers 15 - 32 - 36 - 48 - 64 "," 19 "," 3 "," "
""," Double Play® Numbers 22 - 25 - 58 - 62 - 64 "," 18 "," --- "," "
" 2/23/2022 "," Powerball® Numbers 6 - 17 - 21 - 35 - 64 "," 18 "," 2 "," "
""," Double Play® Numbers 7 - 11 - 19 - 34 - 59 "," 14 "," --- "," "
" 2/21/2022 "," Powerball® Numbers 2 - 36 - 37 - 45 - 69 "," 3 "," 2 "," "
""," Double Play® Numbers 22 - 23 - 29 - 39 - 43 "," 18 "," --- "," "
" 2/19/2022 "," Powerball® Numbers 3 - 10 - 15 - 33 - 42 "," 11 "," 2 "," "
""," Double Play® Numbers 21 - 22 - 30 - 41 - 67 "," 3 "," --- "," "
" 2/16/2022 "," Powerball® Numbers 22 - 30 - 40 - 42 - 48 "," 16 "," 2 "," "
""," Double Play® Numbers 18 - 25 - 28 - 30 - 38 "," 10 "," --- "," "
" 2/14/2022 "," Powerball® Numbers 16 - 25 - 27 - 49 - 55 "," 17 "," 3 "," "
""," Double Play® Numbers 1 - 5 - 35 - 37 - 49 "," 11 "," --- "," "
" 2/12/2022 "," Powerball® Numbers 8 - 10 - 21 - 41 - 62 "," 7 "," 3 "," "
""," Double Play® Numbers 4 - 6 - 15 - 53 - 61 "," 23 "," --- "," "
" 2/9/2022 "," Powerball® Numbers 2 - 17 - 33 - 51 - 63 "," 26 "," 2 "," "
""," Double Play® Numbers 21 - 36 - 42 - 47 - 68 "," 3 "," --- "," "
" 2/7/2022 "," Powerball® Numbers 5 - 15 - 38 - 47 - 65 "," 10 "," 3 "," "
""," Double Play® Numbers 9 - 20 - 27 - 47 - 55 "," 14 "," --- "," "
" 2/5/2022 "," Powerball® Numbers 5 - 16 - 27 - 39 - 61 "," 24 "," 2 "," "
""," Double Play® Numbers 13 - 17 - 24 - 44 - 52 "," 17 "," --- "," "
" 2/2/2022 "," Powerball® Numbers 18 - 29 - 33 - 62 - 63 "," 15 "," 3 "," "
""," Double Play® Numbers 12 - 39 - 55 - 66 - 67 "," 16 "," --- "," "
" 1/31/2022 "," Powerball® Numbers 10 - 15 - 51 - 61 - 69 "," 14 "," 3 "," "
""," Double Play® Numbers 28 - 31 - 33 - 38 - 61 "," 5 "," --- "," "
" 1/29/2022 "," Powerball® Numbers 2 - 15 - 38 - 54 - 65 "," 11 "," 4 "," "
""," Double Play® Numbers 18 - 35 - 39 - 53 - 69 "," 5 "," --- "," "
" 1/26/2022 "," Powerball® Numbers 4 - 11 - 38 - 49 - 69 "," 16 "," 3 "," "
""," Double Play® Numbers 10 - 27 - 40 - 43 - 45 "," 25 "," --- "," "
" 1/24/2022 "," Powerball® Numbers 11 - 29 - 30 - 47 - 53 "," 16 "," 3 "," "
""," Double Play® Numbers 1 - 20 - 22 - 23 - 33 "," 18 "," --- "," "
" 1/22/2022 "," Powerball® Numbers 8 - 14 - 33 - 36 - 67 "," 17 "," 2 "," "
""," Double Play® Numbers 2 - 10 - 30 - 45 - 47 "," 21 "," --- "," "
" 1/19/2022 "," Powerball® Numbers 11 - 15 - 43 - 55 - 61 "," 10 "," 3 "," "
""," Double Play® Numbers 24 - 25 - 35 - 59 - 63 "," 11 "," --- "," "
" 1/17/2022 "," Powerball® Numbers 9 - 24 - 35 - 46 - 65 "," 22 "," 2 "," "
""," Double Play® Numbers 7 - 19 - 33 - 38 - 64 "," 22 "," --- "," "
" 1/15/2022 "," Powerball® Numbers 3 - 18 - 37 - 51 - 59 "," 13 "," 2 "," "
""," Double Play® Numbers 7 - 16 - 24 - 53 - 62 "," 24 "," --- "," "
" 1/12/2022 "," Powerball® Numbers 12 - 21 - 22 - 30 - 33 "," 24 "," 4 "," "
""," Double Play® Numbers 14 - 25 - 50 - 53 - 66 "," 2 "," --- "," "
" 1/10/2022 "," Powerball® Numbers 14 - 17 - 18 - 21 - 27 "," 9 "," 2 "," "
""," Double Play® Numbers 11 - 28 - 47 - 59 - 68 "," 23 "," --- "," "
" 1/8/2022 "," Powerball® Numbers 20 - 21 - 36 - 60 - 65 "," 13 "," 10 "," "
""," Double Play® Numbers 31 - 48 - 50 - 54 - 66 "," 20 "," --- "," "
" 1/5/2022 "," Powerball® Numbers 6 - 14 - 25 - 33 - 46 "," 17 "," 2 "," "
""," Double Play® Numbers 23 - 41 - 56 - 62 - 65 "," 4 "," --- "," "
" 1/3/2022 "," Powerball® Numbers 2 - 13 - 32 - 33 - 48 "," 22 "," 2 "," "
""," Double Play® Numbers 4 - 19 - 26 - 64 - 65 "," 16 "," --- "," "
" 1/1/2022 "," Powerball® Numbers 6 - 12 - 39 - 48 - 50 "," 7 "," 2 "," "
""," Double Play® Numbers 4 - 6 - 7 - 10 - 30 "," 9 "," --- "," "
" 12/29/2021 "," Powerball® Numbers 2 - 6 - 9 - 33 - 39 "," 11 "," 2 "," "
""," Double Play® Numbers 43 - 51 - 53 - 63 - 68 "," 5 "," --- "," "
" 12/27/2021 "," Powerball® Numbers 36 - 38 - 45 - 62 - 64 "," 19 "," 2 "," "
""," Double Play® Numbers 6 - 11 - 23 - 24 - 40 "," 9 "," --- "," "
" 12/25/2021 "," Powerball® Numbers 27 - 29 - 45 - 55 - 58 "," 2 "," 3 "," "
""," Double Play® Numbers 1 - 15 - 28 - 48 - 51 "," 26 "," --- "," "
" 12/22/2021 "," Powerball® Numbers 7 - 16 - 19 - 48 - 68 "," 15 "," 2 "," "
""," Double Play® Numbers 4 - 25 - 49 - 59 - 61 "," 11 "," --- "," "
" 12/20/2021 "," Powerball® Numbers 2 - 13 - 23 - 34 - 66 "," 2 "," 4 "," "
""," Double Play® Numbers 8 - 26 - 36 - 37 - 47 "," 19 "," --- "," "
" 12/18/2021 "," Powerball® Numbers 2 - 6 - 24 - 51 - 61 "," 1 "," 2 "," "
""," Double Play® Numbers 9 - 16 - 37 - 57 - 66 "," 11 "," --- "," "
" 12/15/2021 "," Powerball® Numbers 19 - 20 - 40 - 42 - 59 "," 15 "," 3 "," "
""," Double Play® Numbers 11 - 21 - 22 - 50 - 58 "," 2 "," --- "," "
" 12/13/2021 "," Powerball® Numbers 10 - 30 - 37 - 53 - 59 "," 4 "," 2 "," "
""," Double Play® Numbers 18 - 25 - 28 - 41 - 53 "," 13 "," --- "," "
" 12/11/2021 "," Powerball® Numbers 3 - 25 - 44 - 53 - 64 "," 10 "," 2 "," "
""," Double Play® Numbers 10 - 20 - 28 - 46 - 62 "," 25 "," --- "," "
" 12/8/2021 "," Powerball® Numbers 3 - 7 - 33 - 50 - 69 "," 24 "," 2 "," "
""," Double Play® Numbers 2 - 9 - 51 - 63 - 68 "," 15 "," --- "," "
" 12/6/2021 "," Powerball® Numbers 3 - 21 - 38 - 50 - 59 "," 6 "," 3 "," "
""," Double Play® Numbers 8 - 15 - 27 - 55 - 66 "," 17 "," --- "," "
" 12/4/2021 "," Powerball® Numbers 10 - 40 - 45 - 56 - 67 "," 2 "," 2 "," "
""," Double Play® Numbers 6 - 19 - 36 - 46 - 59 "," 8 "," --- "," "
" 12/1/2021 "," Powerball® Numbers 12 - 15 - 38 - 57 - 63 "," 24 "," 2 "," "
""," Double Play® Numbers 2 - 25 - 34 - 58 - 59 "," 26 "," --- "," "
" 11/29/2021 "," Powerball® Numbers 18 - 26 - 28 - 38 - 47 "," 17 "," 2 "," "
""," Double Play® Numbers 1 - 31 - 59 - 67 - 68 "," 14 "," --- "," "
